"Add Account","Agregar cuenta"
"Magento Cron State","Magento Cron Estado"
"Disabled by Developer","Desactivado por el desarrollador"
"History","Historia"
"show","mostrar"
"Run Task","Realizar tarea"
"Task Name","Nombre de la tarea"
"-- run all --","-- ejecutar todo --"
"Table `%table_name`","Tabla `%table_name`"
"(%amount records)","(%amount records)"
"Information","Información"
"License","License"
"Collapse All","Desplegar Todo"
"Expand All","Abrir todos"
"Errors Summary","Resumen de errores"
"The Products below will not be Moved into the chosen Listing.<br/><div style=""font-weight: normal;""><strong>Possible reason:</strong>The Products are already present in the chosen Listing.<br/></div>","Los Productos a continuación no serán movidos a la lista elegida.<br/><div style=""font-weight: normal;""><strong>Razón posible:</strong>Los productos ya están presentes en la lista elegida.<br/></div>"
"Selected Products: ","Productos seleccionados: "
"Selected Categories: ","Categorías seleccionadas: "
"Categories of selected Magento Products","Categorías de productos Magento seleccionados"
"Product(s) have been <strong>Added</strong> to the Listing.<br/><br/>At this point you can either <strong>Go To The Listing</strong>, or <strong>List Added Products</strong> Now.<br/><br/>%1","El/Los producto(s) han sido <strong>agregados</strong> a la lista.<br/><br/>En este punto, puedes <strong>ir a la lista</strong> o <strong>listar los productos agregados</strong> ahora.<br/><br/>%1"
"Product(s) have been <strong>Added</strong> to the Listing.<br/><br/>At this point, you can either <strong>Go To The Listing</strong>, or go <strong>Back to the Unmanaged Items</strong>.<br/><br/>%1","El/Los producto(s) han sido <strong>agregados</strong> a la lista.<br/><br/>En este punto, puedes <strong>ir a la lista</strong> o volver a <strong>los artículos no gestionados</strong>.<br/><br/>%1"
"Export to:","Exportar a:"
"records found","registros encontrados"
"selected","seleccionado"
"per page","por página"
"Previous page","Página anterior"
"of %1","de %1"
"Next page","Página siguiente"
"Payment Method","Método Pago"
"TikTok Shop Order ID","TikTok Shop ID de pedido"
"Cash On Delivery Cost","Coste contra reembolso"
"Buyer Tax ID","Impuesto comprador ID"
"Changes have been made to this section that have not been saved.","Se han efectuado cambios a esta sección que no se han guardado."
"This tab contains invalid data. Please resolve this before saving.","Esta ficha contiene datos no válidos. Por favor, resuélvelo antes de guardar."
"Store Debug Information","Información de depuración de la tienda"
"Channel Options","Opciones de canal"
"No Channel Options are available.","No hay opciones de canal disponibles."
"Select Option...","Seleccionar opción..."
"No Magento Order Created","Ningún pedido Magento creado"
"Click here to get help for this page.","Haga clic aquí para obtener ayuda para esta página."
"Absolute Value increase","Incremento de valor absoluto"
"Absolute Value decrease","Reducción absoluta del valor"
"Percentage increase","Aumento porcentual"
"Percentage decrease","Disminución porcentual"
"Product(s) have been <strong>Added</strong> to the Listing.<br/><br/>At this point you can either <strong>Go To The Listing</strong>, or <strong>List Added Products</strong> Now.<br/><br/> %1","Los productos han sido <strong>añadidos</strong> a la lista.<br/><br/>En este momento, puede <strong>ir a la lista</strong> o <strong>listar los productos añadidos</strong> ahora.<br/><br/> %1"
"Drop-down List Limit is exceeded. Only 10 000 records will be shown. Please contact Support at support@m2epro.com to resolve it.","Se ha superado el límite de la lista desplegable. Sólo se mostrarán 10 000 registros. Póngase en contacto con el servicio de asistencia en support@m2epro.com para solucionarlo."
"Use From Listing Settings","Usar desde la lista de ajustes"
"Policy","Política"
"Use Custom Settings","Usar ajustes personalizados"
"TikTok Shop Order","TikTok Shop Pedido"
"Purchase Create Time","Compra Tiempo de Creación"
"Purchase Update Time","Tiempo de actualización de compra"
"Reservation Time","Tiempo de reserva"
"Order Status","Estado de Pedido"
"Buyer Information","Información del Comprador"
"Payment Information","Información de pago"
"Order Currency","Moneda de pedido"
"Attention!","¡Atención!"
"Order Currency is not enabled in Magento. Please, enable it in ","La moneda del pedido no está activada en Magento. Por favor, habilítela en "
"Stores > Settings > Configuration > General > Currency Setup.","Almacenes > Ajustes > Configuración > General > Configuración de Moneda."
"There's no rate for Order Currency in Magento. Please, add Currency convert rate in ","No hay ningún tipo de cambio para la moneda del pedido en Magento. Por favor, añade la tasa de conversión de moneda en "
"Stores > Currency > Currency Rates.","Almacenes > Moneda > Tasas de Moneda."
"Payment Date","Fecha de pago"
"Shipping & Handling Information","Información sobre envío & manipulación"
"Shipping Service","Servicio de envío"
"Shipping Cost","Costo de envío"
"Shipping Time","Tiempo de envío"
"Tracking Details","Detalles de seguimiento"
"Carrier","Transportista"
"Number","Número"
"Transaction Item(s)","Artículo(s) de la transacción"
"Custom Notes","Notas personalizadas"
"Checkout Message From Buyer","Mensaje de pago del comprador"
"Order Log","Registro de pedidos"
"Order Totals","Totales del Pedido"
"Subtotal","Subtotal"
"Excl. Tax","Sin IVA"
"Shipping & Handling","Manipulación & Expedición"
"Tax","Impuesto"
"Grand Total","Total general"
"Buyer Cancellation Request","Solicitud de cancelación del comprador"
"Cancellation Reason","Motivo de la cancelación"
"Accept","Aceptar"
"Decline","Declive"
"Name","Nombre"
"User ID","ID de Usuario"
"Private Restriction","Restricción Privada"
"Address","Dirección"
"Value","Valor"
"Up to 2","Hasta 2"
"Up to 3","Hasta 3"
"Up to 4","Hasta 4"
"Up to 5","Hasta 5"
"Up to 6","Hasta 6"
"Up to 7","Hasta 7"
"Up to 8","Hasta 8"
"Enter keywords in marketplace-specific language. Use plurals to get better search results.","Introduzca las palabras clave en el lenguaje específico del mercado. Utilice plurales para obtener mejores resultados de búsqueda."
"Search","Buscar"
"Enter keywords separated by commas","Introduzca palabras clave separadas por comas"
"Enter product type name","Introduce el nombre del tipo de producto"
"If your description contains M2E TikTok Shop Connect Attributes, some of them such as Image URLs, Images, etc. might display for the previewing the value which is different from the actual one that will be sent to TikTok Shop.","Si su descripción contiene Atributos de M2E TikTok Shop Connect, algunos de ellos, como las URLs de las imágenes, las imágenes, etc., podrían mostrar en la vista previa un valor que es diferente al que se enviará a TikTok Shop."
"Currency","Moneda"
"The Currency for TikTok Shop Listings. Automatically set based on the Shop you chose earlier.","La moneda para las listas de TikTok. Se establece automáticamente basado en la tienda que elegiste antes."
"Price Change","Cambio de precio"
"[CURRENCY]","[CURRENCY]"
"You may adjust Magento Price value that will be submitted to Channel.","Puede ajustar el valor del precio de Magento que se enviará al canal."
"Product Price","Precio del producto"
"Special Price","Precio especial"
"The Price for Fixed Price Items.","El precio de los artículos de precio fijo."
"Warehouse","Almacén"
"Magento Carrier","Carrier de Magento"
"TTS Carrier","TTS Transportista"
"To view available warehouses and shipping carriers, please refresh your account data.","Para ver los almacenes y transportistas disponibles, actualice los datos de su cuenta."
"Congratulations! You have registered your M2E TikTok Shop Connect Extension and linked your TikTok Shop Account to it.","¡Enhorabuena! Has registrado tu M2E TikTok Shop Connect Extension y vinculado tu cuenta de TikTok Shop a ella."
"The next step involves creating your first M2E TikTok Shop Connect Listing.","El siguiente paso consiste en crear tu primer anuncio de M2E TikTok Shop Connect."
"M2E TikTok Shop Connect Listing is a group of Magento Products combined under specific sets of rules. <br/>These are the Products which will be offered as TikTok Shop Items by a Seller on a particular Shop.","M2E TikTok Shop Connect Listado es un grupo de Productos Magento combinados bajo un conjunto específico de reglas. <br/>Estos son los Productos que serán ofrecidos como Artículos de la TikTok Shop por un Vendedor en una Tienda en particular."
"Click on the <strong>Create First Listing</strong> button to proceed. Or click on the <strong>Skip</strong> button if you want to create your first listing later.","Haga clic en el botón <strong>Crear primer anuncio</strong> para continuar. O haga clic en el botón <strong>Skip</strong> si desea crear su primer anuncio más tarde."
"M2e Pro Health Status Notification","Notificación del estado de salud de M2E Pro"
"Please choose a category to continue.","Elija una categoría para continuar."
"Please complete all required attributes to proceed.","Por favor, complete todos los atributos requeridos para continuar."
"Please select a category to continue.","Seleccione una categoría para continuar."
"To proceed, the category data must be specified.","Para continuar, es necesario especificar los datos de la categoría."
"Decline Reason","Motivo de rechazo"
"Attention","Atención"
"OK","Ok"
"Interface & Magento inventory","Inventario de Interfaz & Magento"
"Logs Clearing","Limpiando registros"
"M2E TikTok Shop Connect Payment","TikTok M2E TikTok Conectar Pago"
"M2E TikTok Shop Connect Shipping","M2E TikTok Shop Conectar Envío"
"M2E TikTok Shop Connect Listing is a group of Magento Products sold on a certain Shop from a particular Account. M2E TikTok Shop Connect has several options to display the content of Listings referring to different data details. Each of the view options contains a unique set of available Actions accessible in the Mass Actions drop-down.","M2E TikTok Shop Connect Listado es un grupo de Productos Magento vendidos en una Tienda determinada desde una Cuenta concreta. M2E TikTok Shop Connect tiene varias opciones para mostrar el contenido de los Listados haciendo referencia a diferentes detalles de datos. Cada una de las opciones de visualización contiene un conjunto único de Acciones disponibles accesibles en el desplegable Acciones Masivas."
"Retire on TikTok Shop / Remove From Listing","Retirarse de la TikTok Shop / Eliminar de la lista"
"Product Title / Listing / Product SKU","Título del producto / Anuncio / SKU del producto"
